time [days],total earthquakes
0.0293378,0
11.8818,0
11.9992,1
12.3512,1
12.4099,2
12.5272,2
12.6153,3
12.7033,4
12.8206,4
12.8793,6
12.9673,7
13.1140,7
13.1727,9
13.3194,12
13.4074,14
13.4661,15
13.5541,19
14.1408,19
14.1995,22
14.4342,23
14.4929,24
14.5809,29
15.1676,29
15.1970,32
15.2557,32
15.5490,34
15.8131,35
16.0771,36
16.1945,36
16.3412,37
16.3998,42
16.6052,42
16.6639,44
17.1333,44
17.1626,46
17.2213,48
17.5733,49
17.6614,54
17.7200,55
18.1308,55
18.2481,56
18.3655,56
18.3655,61
18.8642,61
18.8642,64
19.1869,64
19.2163,66
19.4510,66
19.4803,71
20.3018,71
20.5365,72
20.6245,75
22.2381,75
22.3261,76
23.5876,76
23.6169,77
26.0226,77
26.1400,78
26.3160,79
27.2255,79
27.2842,80
30.6873,80
30.7754,81
31.0687,81
31.2741,82
31.3328,84
31.4795,90
31.6848,91
31.9195,93
32.0956,94
32.1249,97
32.3889,98
32.6530,98
32.7117,102
32.7997,116
32.9757,117
32.9757,118
33.1517,118
33.2397,120
33.4744,120
33.5331,122
33.7678,122
